B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 194241.283, 68, B03, S02, 1
B04, 24
B04, Trade, 57671.517, 71, B04, S02, 1
B04, Trade, 58621.483, 71, B04, S03, 1
B04, Trade, 63590.667, 70, B04, S01, 1
B04, Trade, 116055.383, 71, B04, S02, 1
B04, Trade, 118737.050, 71, B04, S03, 1
B04, Trade, 120379.500, 71, B04, S02, 1
B04, Trade, 120625.100, 70, B04, S02, 1
B04, Trade, 120952.133, 71, B04, S04, 1
B04, Trade, 120974.233, 70, B04, S03, 1
B04, Trade, 121064.050, 71, B04, S02, 1
B04, Trade, 123174.483, 71, B04, S02, 1
B04, Trade, 124049.250, 71, B04, S00, 1
B04, Trade, 124425.733, 71, B04, S02, 1
B04, Trade, 124584.117, 71, B04, S04, 1
B04, Trade, 126619.617, 71, B04, S02, 1
B04, Trade, 126643.483, 71, B04, S03, 1
B04, Trade, 127317.017, 71, B04, S00, 1
B04, Trade, 128061.133, 71, B04, S00, 1
B04, Trade, 128407.000, 71, B04, S02, 1
B04, Trade, 128586.900, 71, B04, S00, 1
B04, Trade, 128614.783, 69, B04, S02, 1
B04, Trade, 128950.817, 71, B04, S00, 1
B04, Trade, 129173.500, 69, S03, B04, 1
B04, Trade, 130888.033, 71, B04, S03, 1
B05, 15
B05, Trade, 29074.750, 73, B05, S03, 1
B05, Trade, 30348.250, 73, B05, S02, 1
B05, Trade, 31708.550, 73, B05, S03, 1
B05, Trade, 32920.233, 73, B05, S04, 1
B05, Trade, 36250.217, 73, B05, S03, 1
B05, Trade, 80976.100, 73, B05, S03, 1
B05, Trade, 224207.050, 73, B05, S03, 1
B05, Trade, 230487.150, 73, B05, S02, 1
B05, Trade, 231511.200, 73, B05, S00, 1
B05, Trade, 232877.800, 73, B05, S03, 1
B05, Trade, 233805.250, 73, B05, S04, 1
B05, Trade, 236190.917, 72, B05, S02, 1
B05, Trade, 236358.183, 73, B05, S03, 1
B05, Trade, 256590.717, 73, B05, S00, 1
B05, Trade, 257629.100, 73, B05, S04, 1
B06, 35
B06, Trade, 38129.950, 76, B06, S02, 1
B06, Trade, 38377.133, 76, B06, S03, 1
B06, Trade, 75212.950, 76, B06, S03, 1
B06, Trade, 77021.167, 76, B06, S02, 1
B06, Trade, 87566.383, 75, B06, S05, 1
B06, Trade, 89385.133, 75, B06, S03, 1
B06, Trade, 92520.867, 76, B06, S01, 1
B06, Trade, 115626.267, 73, B06, S02, 1
B06, Trade, 116249.283, 75, B06, S03, 1
B06, Trade, 116661.650, 75, B06, S02, 1
B06, Trade, 117871.550, 74, B06, S02, 1
B06, Trade, 121409.983, 74, S04, B06, 1
B06, Trade, 121887.617, 75, B06, S02, 1
B06, Trade, 122040.367, 76, B06, S02, 1
B06, Trade, 124790.283, 76, B06, S02, 1
B06, Trade, 127468.333, 75, B06, S00, 1
B06, Trade, 127689.550, 72, B06, S02, 1
B06, Trade, 128950.900, 72, S03, B06, 1
B06, Trade, 130828.433, 76, B06, S00, 1
B06, Trade, 130887.650, 76, B06, S02, 1
B06, Trade, 131995.917, 76, B06, S00, 1
B06, Trade, 132812.433, 76, B06, S02, 1
B06, Trade, 133053.167, 76, B06, S00, 1
B06, Trade, 133821.767, 76, B06, S03, 1
B06, Trade, 134701.500, 73, B06, S03, 1
B06, Trade, 136208.967, 76, B06, S00, 1
B06, Trade, 144780.433, 76, B06, S01, 1
B06, Trade, 146331.600, 76, B06, S00, 1
B06, Trade, 147257.000, 76, B06, S01, 1
B06, Trade, 149599.367, 76, B06, S04, 1
B06, Trade, 150377.450, 76, B06, S05, 1
B06, Trade, 217870.350, 76, B06, S03, 1
B06, Trade, 221101.817, 76, B06, S01, 1
B06, Trade, 225642.750, 76, B06, S00, 1
B06, Trade, 229271.217, 76, B06, S06, 1
B07, 100
B07, Trade, 224051.183, 79, B07, S06, 1
