B00, 0
B01, 1
B01, Trade, 121198.000, 62, B01, S00, 1
B02, 0
B03, 1
B03, Trade, 114770.150, 67, B03, S01, 1
B04, 4
B04, Trade, 136581.967, 71, B04, S01, 1
B04, Trade, 216454.583, 71, B04, S01, 1
B04, Trade, 239526.983, 71, B04, S01, 1
B04, Trade, 255270.767, 71, B04, S01, 1
B05, 11
B05, Trade, 30852.733, 69, S00, B05, 1
B05, Trade, 109622.300, 70, S03, B05, 1
B05, Trade, 114158.300, 73, B05, S04, 1
B05, Trade, 182612.617, 73, B05, S03, 1
B05, Trade, 183313.850, 73, B05, S04, 1
B05, Trade, 186140.233, 73, B05, S01, 1
B05, Trade, 204666.967, 73, B05, S01, 1
B05, Trade, 205573.800, 73, B05, S01, 1
B05, Trade, 208551.317, 73, B05, S04, 1
B05, Trade, 216454.267, 73, B05, S02, 1
B05, Trade, 237387.317, 73, B05, S01, 1
B06, 47
B06, Trade, 23944.017, 76, B06, S05, 1
B06, Trade, 25197.117, 76, B06, S01, 1
B06, Trade, 25337.683, 76, B06, S01, 1
B06, Trade, 28616.167, 76, B06, S01, 1
B06, Trade, 33103.550, 68, B06, S02, 1
B06, Trade, 34769.333, 71, B06, S02, 1
B06, Trade, 35530.133, 74, B06, S01, 1
B06, Trade, 115752.717, 75, B06, S03, 1
B06, Trade, 116156.050, 76, B06, S04, 1
B06, Trade, 121546.533, 76, B06, S04, 1
B06, Trade, 122398.567, 73, B06, S00, 1
B06, Trade, 122914.783, 75, B06, S01, 1
B06, Trade, 137255.167, 76, B06, S01, 1
B06, Trade, 143202.383, 76, B06, S06, 1
B06, Trade, 144540.400, 76, B06, S00, 1
B06, Trade, 144771.550, 76, B06, S03, 1
B06, Trade, 147677.067, 75, B06, S01, 1
B06, Trade, 150103.667, 75, B06, S03, 1
B06, Trade, 166395.217, 74, B06, S00, 1
B06, Trade, 183757.033, 76, B06, S01, 1
B06, Trade, 187293.917, 74, B06, S01, 1
B06, Trade, 188021.717, 76, B06, S04, 1
B06, Trade, 188430.033, 74, B06, S05, 1
B06, Trade, 188649.850, 75, B06, S05, 1
B06, Trade, 189412.367, 76, B06, S04, 1
B06, Trade, 189629.317, 75, B06, S04, 1
B06, Trade, 189677.083, 76, B06, S04, 1
B06, Trade, 190282.500, 74, B06, S01, 1
B06, Trade, 191174.983, 74, B06, S04, 1
B06, Trade, 191926.067, 76, B06, S00, 1
B06, Trade, 193274.517, 76, B06, S00, 1
B06, Trade, 200005.717, 76, B06, S00, 1
B06, Trade, 200507.700, 76, B06, S02, 1
B06, Trade, 205860.367, 74, S04, B06, 1
B06, Trade, 238620.683, 76, B06, S01, 1
B06, Trade, 239526.767, 76, B06, S03, 1
B06, Trade, 240101.783, 76, B06, S03, 1
B06, Trade, 240257.850, 76, B06, S04, 1
B06, Trade, 241868.617, 76, B06, S04, 1
B06, Trade, 242021.117, 76, B06, S01, 1
B06, Trade, 242066.567, 76, B06, S01, 1
B06, Trade, 242296.750, 76, B06, S00, 1
