B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 177842.350, 68, B03, S00, 1
B03, Trade, 227062.150, 68, B03, S02, 1
B04, 13
B04, Trade, 53823.667, 71, B04, S00, 1
B04, Trade, 76386.317, 71, B04, S02, 1
B04, Trade, 84601.600, 71, B04, S01, 1
B04, Trade, 162179.017, 71, B04, S02, 1
B04, Trade, 163051.433, 71, B04, S04, 1
B04, Trade, 165081.067, 71, B04, S02, 1
B04, Trade, 174837.850, 70, B04, S00, 1
B04, Trade, 218690.250, 70, B04, S00, 1
B04, Trade, 219777.417, 71, B04, S02, 1
B04, Trade, 248178.467, 67, B04, S02, 1
B04, Trade, 248671.517, 71, B04, S00, 1
B04, Trade, 249962.017, 69, B04, S00, 1
B04, Trade, 256370.150, 70, B04, S03, 1
B05, 67
B05, Trade, 40137.767, 73, B05, S01, 1
B05, Trade, 40847.650, 73, B05, S03, 1
B05, Trade, 118702.083, 73, B05, S03, 1
B05, Trade, 127101.750, 70, B05, S03, 1
B05, Trade, 209125.250, 73, B05, S02, 1
B05, Trade, 210449.317, 73, B05, S02, 1
B05, Trade, 210926.367, 73, B05, S03, 1
B05, Trade, 211101.067, 73, B05, S03, 1
B05, Trade, 212986.100, 73, B05, S05, 1
B05, Trade, 214255.683, 73, B05, S02, 1
B05, Trade, 214279.767, 73, B05, S02, 1
B05, Trade, 215270.983, 73, B05, S02, 1
B05, Trade, 215907.267, 73, B05, S05, 1
B05, Trade, 216287.200, 68, B05, S02, 1
B05, Trade, 218906.483, 68, B05, S00, 1
B05, Trade, 221312.267, 68, B05, S02, 1
B05, Trade, 246942.100, 68, B05, S00, 1
B05, Trade, 248804.700, 68, B05, S02, 1
B05, Trade, 252160.500, 73, B05, S00, 1
B05, Trade, 252498.500, 73, B05, S00, 1
B05, Trade, 252643.450, 73, B05, S03, 1
B05, Trade, 253038.900, 73, B05, S00, 1
B05, Trade, 253056.133, 73, B05, S00, 1
B05, Trade, 253082.750, 73, B05, S03, 1
B05, Trade, 253206.200, 73, B05, S03, 1
B05, Trade, 253270.233, 73, B05, S04, 1
B05, Trade, 253285.767, 73, B05, S03, 1
B05, Trade, 253303.783, 73, B05, S00, 1
B05, Trade, 253355.850, 73, B05, S00, 1
B05, Trade, 253542.667, 71, B05, S00, 1
B05, Trade, 253617.317, 73, B05, S03, 1
B05, Trade, 253672.200, 73, B05, S00, 1
B05, Trade, 253857.883, 73, B05, S00, 1
B05, Trade, 253928.333, 73, B05, S00, 1
B05, Trade, 253980.550, 72, B05, S00, 1
B05, Trade, 254336.100, 73, B05, S00, 1
B05, Trade, 254507.950, 73, B05, S00, 1
B05, Trade, 254549.050, 73, B05, S02, 1
B05, Trade, 254572.917, 73, B05, S03, 1
B05, Trade, 254745.333, 73, B05, S03, 1
B05, Trade, 254926.283, 73, B05, S03, 1
B05, Trade, 255070.017, 73, B05, S03, 1
B05, Trade, 255083.067, 73, B05, S03, 1
B05, Trade, 255161.417, 73, B05, S00, 1
B05, Trade, 255305.700, 73, B05, S00, 1
B05, Trade, 255480.067, 73, B05, S03, 1
B05, Trade, 255824.333, 73, B05, S00, 1
B05, Trade, 256245.833, 73, B05, S00, 1
B05, Trade, 256294.650, 73, B05, S00, 1
B05, Trade, 256370.083, 73, B05, S00, 1
B05, Trade, 256430.433, 73, B05, S00, 1
B05, Trade, 256534.283, 73, B05, S00, 1
B05, Trade, 256833.867, 73, B05, S00, 1
B05, Trade, 256868.333, 73, B05, S03, 1
B05, Trade, 257077.017, 72, B05, S00, 1
B05, Trade, 257248.017, 73, B05, S02, 1
B05, Trade, 257270.433, 73, B05, S05, 1
B05, Trade, 257338.517, 72, B05, S03, 1
B05, Trade, 257380.917, 73, B05, S03, 1
B05, Trade, 257531.650, 73, B05, S00, 1
B05, Trade, 258258.583, 73, B05, S00, 1
B05, Trade, 258311.000, 73, B05, S03, 1
B05, Trade, 258585.467, 73, B05, S02, 1
B05, Trade, 258689.200, 73, B05, S03, 1
B05, Trade, 258830.283, 73, B05, S03, 1
B05, Trade, 259120.767, 73, B05, S00, 1
B05, Trade, 259146.417, 73, B05, S03, 1
B06, 100
B06, Trade, 244966.600, 76, B06, S00, 1
B06, Trade, 245041.050, 76, B06, S02, 1
B06, Trade, 245093.000, 76, B06, S00, 1
B06, Trade, 245118.533, 76, B06, S04, 1
B06, Trade, 245188.800, 76, B06, S02, 1
B06, Trade, 245223.650, 76, B06, S00, 1
