B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 251527.050, 71, B04, S02, 1
B05, 7
B05, Trade, 81415.433, 73, B05, S02, 1
B05, Trade, 204693.800, 73, B05, S01, 1
B05, Trade, 204900.000, 73, B05, S02, 1
B05, Trade, 240815.700, 73, B05, S02, 1
B05, Trade, 241890.667, 73, B05, S02, 1
B05, Trade, 242491.233, 73, B05, S02, 1
B05, Trade, 242836.850, 73, B05, S02, 1
B06, 33
B06, Trade, 44383.917, 75, B06, S00, 1
B06, Trade, 50757.500, 76, B06, S03, 1
B06, Trade, 61190.900, 76, B06, S00, 1
B06, Trade, 89112.433, 74, B06, S00, 1
B06, Trade, 92163.000, 74, B06, S01, 1
B06, Trade, 119703.183, 73, B06, S01, 1
B06, Trade, 154567.850, 76, B06, S04, 1
B06, Trade, 155708.933, 76, B06, S06, 1
B06, Trade, 168170.033, 76, B06, S03, 1
B06, Trade, 176264.217, 75, B06, S01, 1
B06, Trade, 187289.033, 76, B06, S04, 1
B06, Trade, 187291.883, 75, B06, S04, 1
B06, Trade, 187307.833, 76, B06, S04, 1
B06, Trade, 187586.117, 76, B06, S06, 1
B06, Trade, 188113.183, 76, B06, S02, 1
B06, Trade, 188560.783, 76, B06, S01, 1
B06, Trade, 189717.100, 76, B06, S04, 1
B06, Trade, 190047.417, 76, B06, S01, 1
B06, Trade, 190126.517, 75, B06, S02, 1
B06, Trade, 190246.467, 76, B06, S05, 1
B06, Trade, 190385.850, 76, B06, S04, 1
B06, Trade, 190830.050, 75, B06, S01, 1
B06, Trade, 190917.683, 76, B06, S02, 1
B06, Trade, 191620.650, 76, B06, S04, 1
B06, Trade, 191645.400, 76, B06, S02, 1
B06, Trade, 192421.783, 75, B06, S05, 1
B06, Trade, 192544.433, 76, B06, S02, 1
B06, Trade, 238312.550, 76, B06, S04, 1
B06, Trade, 241100.067, 75, B06, S04, 1
B06, Trade, 252012.700, 76, B06, S03, 1
B06, Trade, 253702.917, 76, B06, S04, 1
B06, Trade, 255403.033, 76, B06, S03, 1
B06, Trade, 258885.600, 76, B06, S04, 1
B07, 100
B07, Trade, 154871.967, 78, B07, S01, 1
B07, Trade, 155087.133, 79, B07, S01, 1
B07, Trade, 155239.617, 79, B07, S01, 1
B07, Trade, 156140.717, 79, B07, S06, 1
B07, Trade, 156601.100, 78, B07, S06, 1
B07, Trade, 157180.117, 79, B07, S01, 1
B07, Trade, 157368.250, 78, B07, S01, 1
B07, Trade, 157501.933, 79, B07, S04, 1
B07, Trade, 157509.550, 77, B07, S01, 1
B07, Trade, 157521.233, 79, B07, S02, 1
B07, Trade, 157974.000, 79, B07, S01, 1
B07, Trade, 158157.733, 79, B07, S06, 1
B07, Trade, 185474.233, 79, B07, S02, 1
B07, Trade, 194847.950, 79, B07, S06, 1
B07, Trade, 194971.600, 79, B07, S01, 1
B07, Trade, 195186.083, 79, B07, S06, 1
B07, Trade, 195892.150, 79, B07, S01, 1
B07, Trade, 195985.117, 78, B07, S06, 1
B07, Trade, 196238.167, 78, B07, S06, 1
B07, Trade, 196474.783, 79, B07, S06, 1
B07, Trade, 196813.167, 79, B07, S04, 1
B07, Trade, 196911.017, 79, B07, S04, 1
B07, Trade, 197646.367, 79, B07, S04, 1
B07, Trade, 197837.500, 79, B07, S01, 1
B07, Trade, 198132.100, 79, B07, S04, 1
B07, Trade, 198510.050, 79, B07, S05, 1
B07, Trade, 198654.183, 79, B07, S00, 1
B07, Trade, 198727.317, 77, B07, S01, 1
B07, Trade, 199699.350, 79, B07, S04, 1
B07, Trade, 199854.583, 79, B07, S01, 1
B07, Trade, 200630.067, 79, B07, S03, 1
B07, Trade, 200831.533, 79, B07, S06, 1
B07, Trade, 201287.900, 79, B07, S01, 1
B07, Trade, 201335.650, 79, B07, S06, 1
B07, Trade, 201784.700, 79, B07, S02, 1
B07, Trade, 203033.050, 78, B07, S02, 1
B07, Trade, 203122.500, 79, B07, S01, 1
B07, Trade, 203362.933, 79, B07, S02, 1
B07, Trade, 204317.217, 77, B07, S04, 1
B07, Trade, 204685.000, 79, B07, S01, 1
B07, Trade, 204899.867, 79, B07, S07, 1
B07, Trade, 206044.383, 79, B07, S01, 1
B07, Trade, 208812.650, 73, B07, S04, 1
B07, Trade, 210499.467, 79, B07, S04, 1
B07, Trade, 212120.100, 79, B07, S03, 1
B07, Trade, 214418.617, 79, B07, S03, 1
B07, Trade, 221503.150, 79, B07, S02, 1
B07, Trade, 231117.783, 79, B07, S04, 1
B07, Trade, 231837.117, 79, B07, S04, 1
B07, Trade, 232995.550, 79, B07, S04, 1
B07, Trade, 233378.183, 78, B07, S05, 1
B07, Trade, 233562.733, 79, B07, S04, 1
B07, Trade, 233980.317, 79, B07, S06, 1
B07, Trade, 234616.933, 79, B07, S04, 1
B07, Trade, 235452.033, 79, B07, S04, 1
B07, Trade, 235463.517, 74, B07, S01, 1
B07, Trade, 236921.433, 74, B07, S04, 1
B07, Trade, 237134.433, 79, B07, S06, 1
B07, Trade, 237305.733, 79, B07, S06, 1
B07, Trade, 238149.567, 76, S04, B07, 1
B07, Trade, 238200.050, 79, B07, S07, 1
B07, Trade, 238240.767, 77, B07, S03, 1
B07, Trade, 238269.067, 78, B07, S04, 1
B07, Trade, 238317.317, 79, B07, S02, 1
B07, Trade, 238402.017, 79, B07, S05, 1
B07, Trade, 238793.633, 79, B07, S02, 1
B07, Trade, 238852.550, 79, B07, S02, 1
B07, Trade, 239048.567, 79, B07, S03, 1
B07, Trade, 239050.283, 79, S07, B07, 1
B07, Trade, 239060.083, 79, B07, S03, 1
B07, Trade, 239574.917, 79, B07, S02, 1
B07, Trade, 239837.133, 78, B07, S03, 1
B07, Trade, 240163.817, 79, B07, S04, 1
B07, Trade, 240192.900, 79, B07, S04, 1
B07, Trade, 240386.600, 78, B07, S04, 1
B07, Trade, 240389.750, 79, B07, S03, 1
B07, Trade, 240500.983, 79, B07, S07, 1
B07, Trade, 240695.417, 79, B07, S02, 1
B07, Trade, 240815.633, 79, B07, S03, 1
B07, Trade, 240932.167, 78, B07, S04, 1
B07, Trade, 241469.783, 79, B07, S02, 1
B07, Trade, 241491.017, 79, B07, S04, 1
B07, Trade, 241764.050, 78, B07, S04, 1
B07, Trade, 241880.133, 79, B07, S03, 1
B07, Trade, 241890.383, 79, B07, S04, 1
B07, Trade, 241984.650, 79, B07, S03, 1
B07, Trade, 242225.267, 79, B07, S04, 1
B07, Trade, 242490.650, 79, B07, S03, 1
B07, Trade, 242531.983, 79, B07, S04, 1
B07, Trade, 242592.733, 78, B07, S05, 1
B07, Trade, 242741.450, 79, B07, S03, 1
B07, Trade, 243105.583, 79, S07, B07, 1
B07, Trade, 243325.667, 78, B07, S05, 1
B07, Trade, 244107.267, 79, B07, S02, 1
B07, Trade, 244295.717, 79, B07, S04, 1
B07, Trade, 244384.633, 79, B07, S02, 1
B07, Trade, 244450.033, 78, B07, S02, 1
B07, Trade, 246614.450, 79, B07, S04, 1
B07, Trade, 250547.267, 79, B07, S04, 1
B07, Trade, 254233.917, 76, B07, S04, 1
B08, 100
B08, Trade, 246268.000, 82, B08, S04, 1
B08, Trade, 246337.217, 82, B08, S02, 1
B08, Trade, 246613.967, 82, B08, S04, 1
B08, Trade, 246672.667, 82, B08, S07, 1
B08, Trade, 246766.900, 82, B08, S07, 1
B08, Trade, 247035.600, 82, B08, S02, 1
B08, Trade, 247134.133, 82, B08, S07, 1
B08, Trade, 247185.283, 82, B08, S04, 1
B08, Trade, 247300.867, 80, B08, S02, 1
B08, Trade, 247314.317, 82, B08, S02, 1
B08, Trade, 247351.617, 82, B08, S08, 1
B08, Trade, 247404.833, 82, B08, S01, 1
B08, Trade, 247521.133, 82, B08, S02, 1
B08, Trade, 247650.850, 82, B08, S07, 1
B08, Trade, 247858.017, 82, B08, S02, 1
B08, Trade, 247922.717, 82, B08, S07, 1
B08, Trade, 248421.150, 82, B08, S04, 1
B08, Trade, 248805.533, 82, B08, S07, 1
B08, Trade, 248856.367, 82, B08, S03, 1
