B00, 0
B01, 0
B02, 2
B02, Trade, 237827.883, 65, B02, S01, 1
B02, Trade, 238285.817, 65, B02, S01, 1
B03, 14
B03, Trade, 136432.267, 68, B03, S00, 1
B03, Trade, 154801.450, 62, S00, B03, 1
B03, Trade, 245497.700, 62, S01, B03, 1
B03, Trade, 246074.567, 68, B03, S01, 1
B03, Trade, 246802.583, 68, B03, S01, 1
B03, Trade, 246875.233, 68, B03, S01, 1
B03, Trade, 247761.183, 68, B03, S00, 1
B03, Trade, 248517.383, 67, B03, S00, 1
B03, Trade, 248986.667, 68, B03, S01, 1
B03, Trade, 248996.000, 68, S03, B03, 1
B03, Trade, 249665.700, 68, S01, B03, 1
B03, Trade, 250501.033, 68, B03, S03, 1
B03, Trade, 251447.350, 68, B03, S01, 1
B03, Trade, 251898.517, 68, B03, S01, 1
B04, 42
B04, Trade, 209182.033, 71, B04, S03, 1
B04, Trade, 210147.683, 71, B04, S03, 1
B04, Trade, 210169.550, 71, B04, S01, 1
B04, Trade, 211124.583, 71, B04, S01, 1
B04, Trade, 211456.233, 71, B04, S03, 1
B04, Trade, 212646.783, 71, B04, S03, 1
B04, Trade, 213485.817, 71, B04, S03, 1
B04, Trade, 213572.567, 71, B04, S03, 1
B04, Trade, 213695.067, 71, B04, S00, 1
B04, Trade, 213905.483, 71, B04, S03, 1
B04, Trade, 214628.483, 71, B04, S03, 1
B04, Trade, 215845.550, 71, B04, S03, 1
B04, Trade, 215909.317, 71, B04, S03, 1
B04, Trade, 237722.900, 71, B04, S01, 1
B04, Trade, 238405.650, 71, B04, S00, 1
B04, Trade, 241345.500, 71, B04, S04, 1
B04, Trade, 243596.950, 70, B04, S01, 1
B04, Trade, 244411.450, 71, B04, S01, 1
B04, Trade, 244590.217, 69, B04, S00, 1
B04, Trade, 244988.933, 71, B04, S03, 1
B04, Trade, 245568.617, 68, B04, S00, 1
B04, Trade, 245603.083, 71, B04, S00, 1
B04, Trade, 245619.383, 70, B04, S01, 1
B04, Trade, 246078.000, 70, B04, S03, 1
B04, Trade, 246707.717, 70, B04, S01, 1
B04, Trade, 246906.800, 71, B04, S03, 1
B04, Trade, 248847.017, 71, B04, S00, 1
B04, Trade, 249110.333, 67, B04, S01, 1
B04, Trade, 249159.467, 71, B04, S00, 1
B04, Trade, 249349.267, 68, B04, S02, 1
B04, Trade, 249642.167, 70, B04, S01, 1
B04, Trade, 249805.517, 71, B04, S02, 1
B04, Trade, 249821.800, 70, B04, S01, 1
B04, Trade, 250204.183, 70, B04, S01, 1
B04, Trade, 250522.783, 70, B04, S03, 1
B04, Trade, 250656.700, 71, B04, S01, 1
B04, Trade, 250673.183, 69, B04, S01, 1
B04, Trade, 250808.817, 70, B04, S03, 1
B04, Trade, 250938.700, 69, B04, S00, 1
B04, Trade, 251071.583, 71, B04, S01, 1
B04, Trade, 251408.033, 71, B04, S03, 1
B04, Trade, 251823.267, 71, B04, S03, 1
B05, 12
B05, Trade, 32527.000, 72, B05, S02, 1
B05, Trade, 117967.033, 73, B05, S00, 1
B05, Trade, 121711.900, 73, B05, S00, 1
B05, Trade, 122181.467, 73, B05, S00, 1
B05, Trade, 153518.100, 73, B05, S03, 1
B05, Trade, 158169.850, 73, B05, S05, 1
B05, Trade, 199308.067, 73, B05, S00, 1
B05, Trade, 231048.667, 73, B05, S00, 1
B05, Trade, 235228.283, 73, B05, S03, 1
B05, Trade, 238270.083, 67, B05, S01, 1
B05, Trade, 239453.033, 73, B05, S00, 1
B05, Trade, 244300.633, 73, B05, S01, 1
B06, 90
B06, Trade, 114752.200, 69, B06, S00, 1
B06, Trade, 135759.183, 75, B06, S03, 1
B06, Trade, 151945.917, 76, B06, S03, 1
B06, Trade, 152292.200, 76, B06, S03, 1
B06, Trade, 152405.633, 76, B06, S03, 1
B06, Trade, 152675.917, 75, B06, S00, 1
B06, Trade, 152739.600, 76, B06, S03, 1
B06, Trade, 153422.033, 76, B06, S00, 1
B06, Trade, 153718.983, 75, B06, S03, 1
B06, Trade, 153884.783, 76, B06, S00, 1
B06, Trade, 155270.817, 76, B06, S00, 1
B06, Trade, 155385.883, 76, B06, S05, 1
B06, Trade, 155791.567, 76, B06, S00, 1
B06, Trade, 156026.200, 75, B06, S00, 1
B06, Trade, 156029.967, 76, B06, S00, 1
B06, Trade, 156241.967, 75, B06, S03, 1
B06, Trade, 156256.583, 76, B06, S05, 1
B06, Trade, 156273.050, 76, B06, S00, 1
B06, Trade, 156826.117, 76, B06, S00, 1
B06, Trade, 157555.550, 76, B06, S03, 1
B06, Trade, 157747.900, 76, B06, S03, 1
B06, Trade, 158001.000, 76, B06, S00, 1
B06, Trade, 158374.100, 76, B06, S05, 1
B06, Trade, 209829.217, 76, B06, S01, 1
B06, Trade, 210687.767, 74, B06, S03, 1
B06, Trade, 211691.300, 75, B06, S01, 1
B06, Trade, 213670.783, 76, B06, S03, 1
B06, Trade, 214726.633, 76, B06, S03, 1
B06, Trade, 215462.183, 76, B06, S03, 1
B06, Trade, 230464.533, 76, B06, S00, 1
B06, Trade, 230612.167, 76, B06, S02, 1
B06, Trade, 230624.783, 76, B06, S04, 1
B06, Trade, 230777.383, 75, B06, S02, 1
B06, Trade, 231048.617, 74, S03, B06, 1
B06, Trade, 231495.700, 76, B06, S05, 1
B06, Trade, 231692.500, 76, B06, S05, 1
B06, Trade, 232062.667, 76, B06, S05, 1
B06, Trade, 232179.450, 76, B06, S00, 1
B06, Trade, 232819.817, 76, B06, S04, 1
B06, Trade, 233174.717, 76, B06, S05, 1
B06, Trade, 233382.917, 76, B06, S05, 1
B06, Trade, 233413.867, 76, B06, S00, 1
B06, Trade, 233998.367, 76, B06, S03, 1
B06, Trade, 234057.300, 76, B06, S05, 1
B06, Trade, 234846.900, 76, B06, S00, 1
B06, Trade, 235106.433, 76, B06, S00, 1
B06, Trade, 235463.517, 76, B06, S00, 1
B06, Trade, 235498.450, 76, B06, S05, 1
B06, Trade, 235591.783, 75, B06, S03, 1
B06, Trade, 235615.950, 76, B06, S03, 1
B06, Trade, 236511.133, 76, B06, S05, 1
B06, Trade, 237352.800, 76, B06, S00, 1
B06, Trade, 244960.467, 74, B06, S01, 1
B06, Trade, 245217.817, 73, B06, S01, 1
B06, Trade, 245239.967, 76, B06, S01, 1
B06, Trade, 245468.050, 71, B06, S02, 1
B06, Trade, 245566.617, 75, B06, S05, 1
B06, Trade, 245827.583, 76, B06, S02, 1
B06, Trade, 246077.183, 74, B06, S00, 1
B06, Trade, 246175.200, 76, B06, S03, 1
B06, Trade, 246310.483, 76, B06, S05, 1
B06, Trade, 246408.167, 74, B06, S02, 1
B06, Trade, 246517.600, 76, B06, S05, 1
B06, Trade, 246684.350, 73, B06, S01, 1
B06, Trade, 246875.150, 74, B06, S02, 1
B06, Trade, 247083.567, 71, B06, S03, 1
B06, Trade, 247246.633, 74, B06, S01, 1
B06, Trade, 247275.883, 74, B06, S01, 1
B06, Trade, 247324.117, 76, B06, S00, 1
B06, Trade, 247751.583, 74, B06, S03, 1
B06, Trade, 247828.033, 73, S03, B06, 1
B06, Trade, 248216.333, 76, B06, S05, 1
B06, Trade, 248641.600, 72, B06, S01, 1
B06, Trade, 248690.117, 75, B06, S03, 1
B06, Trade, 249369.517, 74, B06, S00, 1
B06, Trade, 249438.117, 74, B06, S01, 1
B06, Trade, 249450.150, 74, S05, B06, 1
B06, Trade, 249610.967, 76, B06, S05, 1
B06, Trade, 249642.150, 70, B06, S03, 1
B06, Trade, 249782.233, 70, B06, S02, 1
B06, Trade, 249871.350, 75, B06, S00, 1
B06, Trade, 250198.667, 76, B06, S03, 1
B06, Trade, 250233.083, 76, B06, S05, 1
B06, Trade, 250296.150, 76, B06, S02, 1
B06, Trade, 250430.817, 75, B06, S03, 1
B06, Trade, 250555.233, 76, B06, S01, 1
B06, Trade, 250753.883, 75, B06, S01, 1
B06, Trade, 250993.500, 73, B06, S01, 1
B06, Trade, 251132.433, 74, B06, S00, 1
B06, Trade, 251201.683, 73, B06, S03, 1
B07, 100
B07, Trade, 159549.267, 79, B07, S04, 1
B07, Trade, 159819.183, 79, B07, S05, 1
B07, Trade, 159891.383, 79, B07, S05, 1
B07, Trade, 160228.450, 78, B07, S05, 1
B07, Trade, 160785.083, 79, B07, S05, 1
B07, Trade, 160962.383, 79, B07, S06, 1
B07, Trade, 161568.800, 79, B07, S03, 1
B07, Trade, 161720.817, 79, B07, S05, 1
B07, Trade, 162569.717, 79, B07, S00, 1
B07, Trade, 163464.083, 79, B07, S00, 1
B07, Trade, 163982.667, 79, B07, S05, 1
B07, Trade, 164076.233, 79, B07, S00, 1
B07, Trade, 164438.600, 79, B07, S00, 1
B07, Trade, 164481.017, 79, B07, S05, 1
B07, Trade, 165298.500, 79, B07, S05, 1
B07, Trade, 166054.817, 79, B07, S01, 1
B07, Trade, 166379.933, 79, B07, S01, 1
B07, Trade, 167851.433, 79, B07, S01, 1
B07, Trade, 168320.350, 79, B07, S07, 1
B07, Trade, 168538.633, 79, B07, S01, 1
B07, Trade, 169120.433, 77, B07, S01, 1
B07, Trade, 169876.000, 79, B07, S01, 1
B07, Trade, 172475.150, 79, B07, S01, 1
B07, Trade, 188876.050, 79, B07, S01, 1
B07, Trade, 189420.667, 79, B07, S07, 1
B07, Trade, 189622.250, 79, B07, S01, 1
B07, Trade, 190212.400, 79, B07, S02, 1
B07, Trade, 198194.583, 79, B07, S03, 1
B07, Trade, 199214.933, 79, B07, S03, 1
B07, Trade, 199543.383, 79, B07, S03, 1
B07, Trade, 199685.700, 79, B07, S05, 1
B07, Trade, 199818.850, 79, B07, S03, 1
B07, Trade, 200164.967, 79, B07, S05, 1
B07, Trade, 200393.317, 79, B07, S03, 1
B07, Trade, 200582.950, 79, B07, S00, 1
B07, Trade, 207713.517, 79, B07, S00, 1
B07, Trade, 214586.950, 77, B07, S03, 1
B07, Trade, 215208.733, 73, S05, B07, 1
B07, Trade, 242698.833, 77, B07, S03, 1
B07, Trade, 244846.883, 72, B07, S01, 1
B07, Trade, 244854.150, 72, B07, S03, 1
