B00, 0
B01, 1
B01, Trade, 204516.017, 182, B01, S01, 1
B02, 2
B02, Trade, 43728.183, 63, B02, S00, 1
B02, Trade, 124143.867, 105, B02, S00, 1
B03, 39
B03, Trade, 86501.433, 108, B03, S01, 1
B03, Trade, 100763.583, 108, B03, S03, 1
B03, Trade, 100989.483, 108, B03, S00, 1
B03, Trade, 101564.733, 107, B03, S01, 1
B03, Trade, 102117.867, 108, B03, S01, 1
B03, Trade, 102295.350, 108, B03, S01, 1
B03, Trade, 102393.650, 106, B03, S00, 1
B03, Trade, 102581.583, 107, B03, S00, 1
B03, Trade, 103674.700, 107, B03, S00, 1
B03, Trade, 104253.133, 103, B03, S01, 1
B03, Trade, 104641.767, 104, B03, S00, 1
B03, Trade, 105163.000, 108, B03, S01, 1
B03, Trade, 106644.317, 108, S00, B03, 1
B03, Trade, 106694.700, 107, B03, S01, 1
B03, Trade, 106721.267, 108, B03, S00, 1
B03, Trade, 107269.383, 106, B03, S01, 1
B03, Trade, 107539.483, 108, B03, S01, 1
B03, Trade, 130264.283, 108, B03, S01, 1
B03, Trade, 132162.600, 107, B03, S00, 1
B03, Trade, 140352.467, 108, B03, S01, 1
B03, Trade, 140473.817, 108, B03, S01, 1
B03, Trade, 158898.383, 108, B03, S01, 1
B03, Trade, 165256.683, 108, B03, S01, 1
B03, Trade, 205766.517, 184, B03, S01, 1
B03, Trade, 209370.067, 188, B03, S02, 1
B03, Trade, 212271.700, 188, B03, S01, 1
B03, Trade, 217244.700, 187, B03, S01, 1
B03, Trade, 217624.617, 188, B03, S01, 1
B03, Trade, 217767.667, 188, S01, B03, 1
B03, Trade, 218501.233, 188, B03, S01, 1
B03, Trade, 218668.683, 187, B03, S01, 1
B03, Trade, 219547.500, 188, B03, S01, 1
B03, Trade, 219805.917, 188, B03, S03, 1
B03, Trade, 220900.000, 187, B03, S00, 1
B03, Trade, 221771.867, 188, B03, S01, 1
B03, Trade, 222367.550, 184, B03, S01, 1
B03, Trade, 223080.933, 188, B03, S01, 1
B03, Trade, 223097.550, 188, B03, S01, 1
B03, Trade, 233724.950, 188, B03, S01, 1
B04, 100
B04, Trade, 117767.767, 110, B04, S00, 1
B04, Trade, 117950.933, 111, B04, S02, 1
B04, Trade, 118287.483, 111, B04, S00, 1
B04, Trade, 118387.100, 110, B04, S02, 1
B04, Trade, 118513.067, 111, B04, S00, 1
B04, Trade, 118646.567, 105, B04, S01, 1
B04, Trade, 119545.583, 111, B04, S03, 1
B04, Trade, 119794.033, 108, B04, S00, 1
B04, Trade, 120033.317, 111, B04, S02, 1
B04, Trade, 120218.400, 110, B04, S00, 1
B04, Trade, 120571.450, 108, B04, S03, 1
B04, Trade, 120643.567, 110, B04, S00, 1
B04, Trade, 120717.250, 108, B04, S02, 1
B04, Trade, 121069.683, 111, B04, S03, 1
B04, Trade, 121330.533, 109, B04, S03, 1
B04, Trade, 121538.717, 111, B04, S03, 1
B04, Trade, 144421.500, 110, B04, S03, 1
B04, Trade, 146548.617, 111, B04, S01, 1
B04, Trade, 161266.483, 111, B04, S01, 1
B04, Trade, 179085.033, 188, S01, B04, 1
B04, Trade, 180118.300, 191, B04, S01, 1
B04, Trade, 180302.550, 191, B04, S01, 1
B04, Trade, 180324.850, 189, S03, B04, 1
B04, Trade, 181250.883, 191, B04, S01, 1
B04, Trade, 181342.683, 191, B04, S03, 1
B04, Trade, 181580.917, 191, S03, B04, 1
B04, Trade, 183352.650, 189, S03, B04, 1
B04, Trade, 183884.400, 190, B04, S03, 1
B04, Trade, 184236.350, 191, B04, S03, 1
B04, Trade, 186379.900, 191, B04, S01, 1
B04, Trade, 200811.067, 191, B04, S01, 1
B04, Trade, 201083.067, 191, B04, S01, 1
B04, Trade, 205966.117, 191, B04, S01, 1
B04, Trade, 206564.283, 190, B04, S02, 1
B04, Trade, 208250.500, 188, B04, S01, 1
B04, Trade, 208686.233, 190, B04, S01, 1
B04, Trade, 224160.817, 189, B04, S03, 1
B04, Trade, 231017.883, 191, B04, S02, 1
B04, Trade, 232103.183, 190, B04, S03, 1
B04, Trade, 232133.383, 190, B04, S03, 1
B04, Trade, 234454.333, 190, B04, S01, 1
B04, Trade, 235846.917, 188, S03, B04, 1
B04, Trade, 235924.417, 190, B04, S03, 1
B04, Trade, 252133.700, 191, B04, S00, 1
B04, Trade, 252283.333, 189, B04, S03, 1
B04, Trade, 252379.367, 190, B04, S00, 1
B04, Trade, 252619.333, 190, B04, S03, 1
B04, Trade, 252671.467, 190, B04, S00, 1
B04, Trade, 252698.950, 191, B04, S03, 1
B04, Trade, 252965.833, 191, B04, S03, 1
B04, Trade, 253028.883, 191, B04, S03, 1
B04, Trade, 253136.583, 189, S03, B04, 1
B04, Trade, 253143.450, 191, B04, S01, 1
B04, Trade, 253246.750, 191, B04, S01, 1
B04, Trade, 253322.517, 191, B04, S02, 1
B04, Trade, 253329.617, 190, S03, B04, 1
B04, Trade, 253731.833, 189, B04, S02, 1
B04, Trade, 253769.150, 191, B04, S01, 1
B04, Trade, 253912.200, 191, B04, S00, 1
B04, Trade, 254013.483, 191, B04, S03, 1
B04, Trade, 254364.133, 191, B04, S01, 1
B04, Trade, 254369.650, 191, B04, S02, 1
B04, Trade, 254457.850, 190, B04, S03, 1
B04, Trade, 254622.267, 191, B04, S02, 1
B04, Trade, 254707.367, 190, B04, S00, 1
B04, Trade, 254723.467, 191, B04, S03, 1
B04, Trade, 254898.317, 191, B04, S02, 1
B04, Trade, 254943.383, 190, B04, S03, 1
B04, Trade, 255147.783, 191, B04, S03, 1
B04, Trade, 255320.700, 191, B04, S01, 1
B04, Trade, 255396.667, 190, B04, S01, 1
B04, Trade, 255422.133, 191, B04, S03, 1
B04, Trade, 255510.417, 191, B04, S01, 1
B04, Trade, 255627.350, 189, B04, S02, 1
B04, Trade, 255648.783, 191, B04, S03, 1
B04, Trade, 255973.967, 191, B04, S03, 1
B04, Trade, 256184.000, 191, B04, S03, 1
B04, Trade, 256242.750, 191, B04, S03, 1
B04, Trade, 256314.700, 191, B04, S01, 1
B04, Trade, 256555.817, 190, B04, S03, 1
B04, Trade, 256665.467, 189, B04, S03, 1
B04, Trade, 256786.300, 190, B04, S01, 1
B04, Trade, 256904.033, 191, B04, S03, 1
B04, Trade, 256912.933, 191, B04, S03, 1
B04, Trade, 257034.367, 190, B04, S03, 1
B04, Trade, 257084.717, 191, B04, S03, 1
B04, Trade, 257365.017, 191, B04, S03, 1
B04, Trade, 257441.250, 189, B04, S02, 1
