B00, 1
B05, Trade, 253646.383, 191, B05, S03, 1
B05, Trade, 253673.217, 190, B05, S02, 1
B05, Trade, 253736.583, 193, B05, S03, 1
B05, Trade, 253777.517, 193, B05, S03, 1
B05, Trade, 253918.350, 193, B05, S02, 1
B05, Trade, 254090.867, 193, B05, S02, 1
B05, Trade, 254164.483, 193, B05, S03, 1
B05, Trade, 254199.750, 193, B05, S02, 1
B05, Trade, 254478.600, 193, B05, S03, 1
B05, Trade, 254528.500, 193, B05, S03, 1
B05, Trade, 254618.783, 193, B05, S02, 1
B05, Trade, 254673.617, 193, B05, S03, 1
B05, Trade, 254765.583, 193, B05, S03, 1
B05, Trade, 254942.683, 193, B05, S03, 1
B05, Trade, 254950.017, 193, B05, S03, 1
B05, Trade, 255235.967, 193, B05, S02, 1
B05, Trade, 255549.133, 193, B05, S02, 1
B05, Trade, 255784.383, 193, B05, S03, 1
B05, Trade, 255944.817, 193, B05, S03, 1
B05, Trade, 256020.450, 193, B05, S02, 1
B05, Trade, 256064.117, 193, B05, S02, 1
B05, Trade, 256294.800, 193, B05, S03, 1
B05, Trade, 256306.883, 193, B05, S02, 1
B05, Trade, 256596.983, 193, B05, S03, 1
B05, Trade, 256632.017, 193, B05, S03, 1
B05, Trade, 256676.367, 193, B05, S03, 1
B05, Trade, 256712.533, 193, B05, S02, 1
B05, Trade, 256805.733, 193, B05, S02, 1
B05, Trade, 256937.100, 193, B05, S02, 1
B05, Trade, 257066.067, 193, B05, S03, 1
B05, Trade, 257287.150, 193, B05, S05, 1
B05, Trade, 257300.467, 193, B05, S03, 1
B05, Trade, 257329.083, 193, B05, S01, 1
B05, Trade, 257413.850, 193, B05, S03, 1
B05, Trade, 257418.617, 193, B05, S02, 1
B05, Trade, 257534.633, 193, B05, S03, 1
B05, Trade, 257779.017, 193, B05, S02, 1
B05, Trade, 257892.083, 193, B05, S03, 1
B05, Trade, 257979.667, 193, B05, S03, 1
B05, Trade, 258177.650, 193, B05, S02, 1
B05, Trade, 258241.067, 193, B05, S02, 1
B05, Trade, 258291.133, 193, B05, S03, 1
B05, Trade, 258313.033, 193, B05, S03, 1
B05, Trade, 258490.300, 193, B05, S03, 1
B05, Trade, 258603.467, 193, B05, S02, 1
B05, Trade, 258672.050, 193, B05, S02, 1
B05, Trade, 258773.883, 193, B05, S03, 1
B05, Trade, 258870.550, 193, B05, S04, 1
B05, Trade, 259053.500, 193, B05, S02, 1
B05, Trade, 259075.733, 193, B05, S03, 1
B05, Trade, 259149.900, 193, B05, S02, 1
B06, 100
B06, Trade, 229813.067, 195, B06, S03, 1
B06, Trade, 229826.033, 196, B06, S01, 1
B06, Trade, 229937.067, 196, B06, S02, 1
B06, Trade, 230009.317, 196, B06, S04, 1
B06, Trade, 230322.217, 195, B06, S02, 1
B06, Trade, 230412.233, 195, B06, S05, 1
B06, Trade, 230619.800, 191, S03, B06, 1
B06, Trade, 230666.850, 196, B06, S04, 1
B06, Trade, 230715.567, 196, B06, S03, 1
B06, Trade, 230748.967, 196, B06, S05, 1
B06, Trade, 231129.350, 196, B06, S05, 1
B06, Trade, 231247.667, 196, B06, S04, 1
B06, Trade, 231314.600, 192, S04, B06, 1
B06, Trade, 231512.683, 196, B06, S00, 1
B06, Trade, 231633.183, 196, B06, S05, 1
B06, Trade, 231999.000, 196, B06, S05, 1
B06, Trade, 232145.683, 196, B06, S05, 1
B06, Trade, 232169.533, 196, B06, S03, 1
B06, Trade, 232316.583, 195, B06, S04, 1
B06, Trade, 232317.217, 193, B06, S03, 1
B06, Trade, 232426.650, 196, B06, S05, 1
B06, Trade, 232442.350, 196, B06, S03, 1
B06, Trade, 232747.717, 196, B06, S00, 1
B06, Trade, 233017.917, 195, B06, S05, 1
B06, Trade, 233049.233, 192, B06, S04, 1
B06, Trade, 233067.133, 195, B06, S04, 1
B06, Trade, 233149.950, 196, B06, S04, 1
B06, Trade, 233189.733, 196, B06, S00, 1
B06, Trade, 233230.950, 196, B06, S03, 1
B06, Trade, 233503.183, 196, B06, S04, 1
B06, Trade, 233617.567, 196, B06, S04, 1
B06, Trade, 233672.850, 196, B06, S00, 1
B06, Trade, 233807.417, 196, B06, S05, 1
B06, Trade, 233977.383, 196, B06, S04, 1
B06, Trade, 233994.367, 192, B06, S00, 1
B06, Trade, 234032.700, 195, B06, S05, 1
B06, Trade, 234222.467, 196, B06, S03, 1
B06, Trade, 234230.933, 196, B06, S03, 1
B06, Trade, 234235.233, 190, B06, S01, 1
B06, Trade, 234459.650, 194, B06, S02, 1
B06, Trade, 234476.083, 194, B06, S00, 1
B06, Trade, 234852.400, 196, B06, S01, 1
B06, Trade, 234944.533, 195, B06, S00, 1
B06, Trade, 235046.783, 196, B06, S03, 1
B06, Trade, 235148.600, 191, B06, S02, 1
B06, Trade, 235207.750, 196, B06, S04, 1
B06, Trade, 235318.000, 195, B06, S04, 1
B06, Trade, 235401.983, 196, B06, S02, 1
B06, Trade, 235503.267, 196, B06, S05, 1
B06, Trade, 235506.083, 196, B06, S04, 1
B06, Trade, 235718.700, 196, B06, S01, 1
B06, Trade, 235831.033, 196, B06, S05, 1
B06, Trade, 235932.933, 196, B06, S05, 1
B06, Trade, 235970.767, 196, B06, S05, 1
B06, Trade, 235985.883, 194, B06, S02, 1
