B00, 0
B01, 2
B05, Trade, 550837.950, 72, B05, S04, 1
B05, Trade, 551733.550, 73, B05, S02, 1
B05, Trade, 551952.783, 73, B05, S00, 1
B05, Trade, 551967.183, 72, B05, S00, 1
B05, Trade, 551979.467, 73, B05, S04, 1
B05, Trade, 552024.367, 72, B05, S04, 1
B05, Trade, 552798.000, 73, B05, S00, 1
B05, Trade, 553233.100, 73, B05, S05, 1
B05, Trade, 553454.017, 73, B05, S02, 1
B05, Trade, 553891.967, 73, B05, S00, 1
B05, Trade, 553977.633, 73, B05, S00, 1
B05, Trade, 554150.150, 73, B05, S04, 1
B05, Trade, 581520.833, 64, B05, S00, 1
B05, Trade, 592289.100, 73, B05, S04, 1
B05, Trade, 593986.300, 73, B05, S03, 1
B05, Trade, 595349.933, 73, B05, S00, 1
B05, Trade, 599253.933, 73, B05, S03, 1
B05, Trade, 599317.733, 73, B05, S00, 1
B05, Trade, 599659.100, 73, B05, S01, 1
B05, Trade, 599786.867, 73, B05, S02, 1
B05, Trade, 600611.750, 72, B05, S01, 1
B05, Trade, 601334.083, 73, B05, S02, 1
B05, Trade, 601935.717, 73, B05, S05, 1
B05, Trade, 602347.617, 73, B05, S01, 1
B05, Trade, 604135.733, 73, B05, S01, 1
B05, Trade, 633797.734, 73, B05, S03, 1
B05, Trade, 634195.917, 73, B05, S03, 1
B05, Trade, 634782.984, 72, B05, S02, 1
B05, Trade, 635635.017, 73, B05, S05, 1
B05, Trade, 635889.550, 73, B05, S01, 1
B05, Trade, 636224.667, 73, B05, S02, 1
B05, Trade, 636489.850, 73, B05, S02, 1
B05, Trade, 637431.834, 73, B05, S04, 1
B05, Trade, 637745.917, 73, B05, S02, 1
B05, Trade, 638049.600, 73, B05, S03, 1
B05, Trade, 638220.967, 73, B05, S02, 1
B05, Trade, 638443.517, 73, B05, S03, 1
B05, Trade, 641038.550, 73, B05, S03, 1
B05, Trade, 641145.284, 73, B05, S00, 1
B05, Trade, 641798.384, 73, B05, S04, 1
B05, Trade, 641986.817, 73, S05, B05, 1
B05, Trade, 642116.484, 73, B05, S00, 1
B05, Trade, 642228.084, 73, B05, S01, 1
B05, Trade, 642909.917, 68, S03, B05, 1
B05, Trade, 643089.667, 73, B05, S03, 1
B05, Trade, 643766.817, 73, B05, S02, 1
B05, Trade, 643830.134, 73, B05, S02, 1
B05, Trade, 644767.400, 71, B05, S00, 1
B05, Trade, 644795.100, 73, B05, S05, 1
B05, Trade, 645096.417, 73, B05, S03, 1
B05, Trade, 645320.200, 73, B05, S04, 1
B05, Trade, 645688.800, 73, B05, S00, 1
