Trd, 863323.434, 106
Trd, 863323.568, 101
Trd, 863323.868, 106
Trd, 863323.984, 109
Trd, 863324.418, 104
Trd, 863324.468, 99
Trd, 863325.418, 100
Trd, 863325.618, 100
Trd, 863326.001, 100
Trd, 863326.151, 99
Trd, 863326.601, 108
Trd, 863326.784, 100
Trd, 863327.268, 99
Trd, 863327.334, 106
Trd, 863327.568, 97
Trd, 863328.651, 104
Trd, 863328.968, 104
Trd, 863329.134, 105
Trd, 863329.751, 105
Trd, 863329.984, 106
Trd, 863330.901, 109
Trd, 863331.118, 112
Trd, 863331.184, 104
Trd, 863331.251, 117
Trd, 863331.868, 105
Trd, 863332.018, 120
Trd, 863332.051, 102
Trd, 863332.318, 102
Trd, 863332.634, 101
Trd, 863332.768, 104
Trd, 863333.084, 99
Trd, 863333.968, 99
Trd, 863334.784, 99
Trd, 863335.568, 101
Trd, 863335.868, 107
Trd, 863336.034, 102
Trd, 863336.168, 101
Trd, 863336.684, 118
Trd, 863337.018, 104
Trd, 863337.201, 117
Trd, 863337.534, 116
Trd, 863337.551, 98
Trd, 863337.584, 118
Trd, 863337.868, 98
Trd, 863337.918, 118
Trd, 863338.984, 104
Trd, 863339.984, 107
Trd, 863340.251, 109
Trd, 863340.568, 106
Trd, 863340.584, 100
Trd, 863340.668, 97
Trd, 863340.734, 87
Trd, 863340.884, 91
Trd, 863341.018, 95
Trd, 863341.301, 106
Trd, 863342.334, 96
Trd, 863342.734, 111
Trd, 863342.934, 97
Trd, 863343.584, 103
Trd, 863343.684, 111
Trd, 863344.018, 106
Trd, 863344.218, 104
Trd, 863344.484, 102
Trd, 863345.168, 101
Trd, 863345.551, 106
Trd, 863345.784, 107
Trd, 863345.851, 114
Trd, 863346.434, 102
Trd, 863346.451, 99
Trd, 863346.968, 103
Trd, 863347.384, 94
Trd, 863347.584, 96
Trd, 863347.701, 111
Trd, 863348.768, 100
Trd, 863348.801, 111
Trd, 863348.951, 112
Trd, 863349.068, 100
Trd, 863349.584, 123
Trd, 863349.701, 98
Trd, 863350.684, 102
Trd, 863351.168, 99
Trd, 863351.334, 102
Trd, 863351.768, 98
Trd, 863352.134, 106
Trd, 863352.351, 108
Trd, 863352.518, 105
Trd, 863352.551, 98
Trd, 863352.934, 103
Trd, 863353.068, 102
Trd, 863354.118, 112
Trd, 863354.451, 98
Trd, 863354.851, 98
Trd, 863354.868, 96
Trd, 863355.484, 96
Trd, 863355.968, 108
Trd, 863356.301, 102
Trd, 863356.401, 97
Trd, 863356.534, 96
Trd, 863356.568, 95
Trd, 863356.701, 90
Trd, 863356.718, 107
Trd, 863356.851, 96
Trd, 863357.701, 106
Trd, 863359.134, 101
Trd, 863359.201, 98
Trd, 863359.418, 102
Trd, 863359.551, 109
Trd, 863359.918, 104
Trd, 863361.134, 122
Trd, 863361.218, 122
Trd, 863361.301, 121
Trd, 863361.701, 121
Trd, 863361.884, 120
Trd, 863362.368, 117
Trd, 863362.868, 118
Trd, 863363.201, 119
Trd, 863363.801, 116
Trd, 863363.884, 115
Trd, 863363.951, 104
Trd, 863364.684, 115
Trd, 863364.751, 95
Trd, 863365.384, 106
Trd, 863365.584, 90
Trd, 863365.718, 87
Trd, 863366.101, 107
Trd, 863366.284, 86
Trd, 863366.534, 108
Trd, 863366.818, 91
Trd, 863367.118, 117
Trd, 863368.851, 99
Trd, 863370.134, 101
Trd, 863370.151, 100
Trd, 863370.234, 99
Trd, 863370.584, 109
Trd, 863371.201, 107
Trd, 863371.218, 106
Trd, 863371.768, 106
Trd, 863372.201, 114
Trd, 863372.584, 105
Trd, 863373.068, 114
Trd, 863373.468, 108
Trd, 863374.001, 116
Trd, 863374.468, 108
Trd, 863374.601, 107
Trd, 863374.951, 106
Trd, 863375.168, 104
Trd, 863375.634, 103
Trd, 863376.051, 103
Trd, 863376.651, 104
Trd, 863376.768, 103
Trd, 863377.034, 98
Trd, 863377.284, 92
Trd, 863377.534, 92
Trd, 863378.234, 104
Trd, 863378.651, 109
Trd, 863378.684, 99
Trd, 863378.734, 110
Trd, 863379.384, 111
Trd, 863380.251, 98
Trd, 863380.568, 101
Trd, 863381.301, 115
Trd, 863381.651, 114
Trd, 863381.851, 113
Trd, 863382.218, 98
Trd, 863382.268, 98
Trd, 863382.334, 94
Trd, 863383.401, 104
Trd, 863383.784, 108
Trd, 863384.884, 111
Trd, 863385.468, 107
