,0,1
459,,2.135298
460,,3.761424
461,,1.151677
462,,3.056973
463,,1.246123
464,,0.055834
465,,1.856684
466,,0.300836
467,,0.110279
468,,0.102779
469,,0.001667
470,,0.038334
471,,0.233335
472,,0.002222
473,,0.008056
474,,0.000833
475,,0.003611
476,,0.0
477,,0.0
478,,0.0
479,,0.0
480,0.0,
481,0.0,
482,0.0,
483,0.0,
484,0.0,
485,0.0,
486,0.000278,
487,0.0,
488,0.000972,
489,0.0,
490,0.004444,
491,0.004583,
492,0.01375,
493,0.004861,
494,0.08,
495,0.017222,
496,0.117778,
497,0.119167,
498,0.169723,
499,0.259168,
500,1.034588,
501,0.565142,
502,0.79042,
503,0.590281,
504,1.568341,
505,1.30695,
506,1.23445,
507,2.53529,
508,3.277654,
509,3.673906,
510,7.986148,
511,,5.709332
512,,5.173635
513,,6.416974
514,,6.76767
515,,0.098195
516,,2.216677
517,,0.716531
518,,0.106112
519,,2.169038
520,,3.820712
521,,1.140283
522,,2.988347
523,,1.250561
524,,0.060556
525,,1.857509
526,,0.319863
527,,0.119167
528,,0.097084
529,,0.003611
530,,0.034583
531,,0.25014
532,,0.001111
533,,0.0075
534,,0.000417
535,,0.002083
536,,0.0
537,,0.0
538,,0.000278
539,,0.0
540,0.0,
541,0.0,
542,0.0,
543,0.0,
544,0.0,
545,0.0,
546,0.001944,
547,0.0,
548,0.003333,
549,0.014445,
550,0.018889,
551,0.012778,
552,0.062779,
553,0.034723,
554,0.456673,
555,0.099446,
556,0.393339,
557,0.696954,
558,0.370838,
559,1.134738,
560,1.031125,
561,1.553077,
562,2.094196,
563,1.526132,
564,2.289754,
565,1.907249,
566,3.246434,
567,3.45227,
568,3.748108,
569,4.775066,
570,7.400658,
571,,4.692565
572,,6.399811
573,,2.935041
574,,5.371186
575,,2.642537
576,,1.620578
577,,0.403894
578,,2.321699
579,,1.011958
580,,2.948097
581,,0.665009
582,,0.524452
583,,1.389186
584,,1.358352
585,,0.823345
586,,1.004181
587,,0.046667
588,,0.064168
589,,0.013611
