B00, 1
B06, Trade, 193688.333, 216, B06, S02, 1
B06, Trade, 193766.700, 215, B06, S00, 1
B06, Trade, 193858.133, 216, B06, S01, 1
B06, Trade, 193939.900, 216, B06, S05, 1
B06, Trade, 194162.900, 215, B06, S02, 1
B06, Trade, 194198.550, 216, B06, S01, 1
B06, Trade, 194299.667, 213, B06, S01, 1
B06, Trade, 194321.783, 216, B06, S02, 1
B06, Trade, 194935.917, 216, B06, S05, 1
B06, Trade, 196281.100, 216, B06, S02, 1
B06, Trade, 197680.417, 216, B06, S00, 1
B06, Trade, 199176.550, 216, B06, S00, 1
B06, Trade, 199195.950, 216, B06, S00, 1
B06, Trade, 199568.583, 216, B06, S05, 1
B06, Trade, 199924.033, 215, B06, S01, 1
B06, Trade, 200113.950, 216, B06, S06, 1
B06, Trade, 201351.867, 216, B06, S02, 1
B06, Trade, 209103.733, 216, B06, S00, 1
B06, Trade, 209150.417, 216, B06, S01, 1
B06, Trade, 210466.750, 213, B06, S03, 1
B06, Trade, 211024.733, 216, B06, S01, 1
B06, Trade, 212034.117, 216, B06, S00, 1
B06, Trade, 212934.867, 216, B06, S00, 1
B06, Trade, 214220.250, 213, B06, S03, 1
B06, Trade, 214354.683, 216, B06, S00, 1
B06, Trade, 215915.750, 216, B06, S00, 1
B06, Trade, 216113.700, 214, B06, S01, 1
B06, Trade, 216416.217, 216, B06, S00, 1
B06, Trade, 216773.167, 216, B06, S00, 1
B06, Trade, 217269.900, 215, B06, S01, 1
B06, Trade, 217564.050, 216, B06, S04, 1
B06, Trade, 217681.683, 216, B06, S01, 1
B06, Trade, 218381.717, 215, B06, S01, 1
B06, Trade, 218638.100, 213, S04, B06, 1
B06, Trade, 218715.217, 216, B06, S01, 1
B06, Trade, 218718.817, 214, B06, S04, 1
B06, Trade, 219278.783, 216, B06, S03, 1
B06, Trade, 219415.000, 214, B06, S05, 1
B06, Trade, 219745.667, 216, B06, S00, 1
B06, Trade, 219943.983, 216, B06, S05, 1
B06, Trade, 220151.133, 216, B06, S01, 1
B06, Trade, 220243.583, 216, B06, S01, 1
B06, Trade, 220312.317, 215, B06, S01, 1
B06, Trade, 220765.133, 214, B06, S00, 1
B06, Trade, 220988.000, 216, B06, S00, 1
B06, Trade, 220994.250, 216, B06, S00, 1
B06, Trade, 222025.050, 215, B06, S04, 1
B06, Trade, 222169.800, 216, B06, S00, 1
B06, Trade, 222193.183, 216, B06, S04, 1
B06, Trade, 222432.583, 216, B06, S00, 1
B06, Trade, 222661.967, 214, B06, S00, 1
B06, Trade, 222995.533, 216, B06, S00, 1
B06, Trade, 230456.433, 212, S02, B06, 1
B06, Trade, 231265.617, 215, B06, S00, 1
B06, Trade, 231321.117, 212, B06, S01, 1
B06, Trade, 231780.517, 216, B06, S00, 1
B06, Trade, 232227.233, 214, B06, S02, 1
B06, Trade, 232502.900, 216, B06, S03, 1
B06, Trade, 233714.583, 216, B06, S02, 1
B06, Trade, 233807.733, 215, B06, S00, 1
B06, Trade, 234737.317, 216, B06, S00, 1
B06, Trade, 234982.733, 216, B06, S02, 1
B06, Trade, 235833.083, 216, B06, S06, 1
B06, Trade, 235843.167, 215, B06, S00, 1
B06, Trade, 236114.133, 216, B06, S03, 1
B06, Trade, 236165.967, 215, B06, S02, 1
B06, Trade, 236322.617, 210, B06, S00, 1
B06, Trade, 236933.950, 212, B06, S00, 1
