B00, 0
B01, 0
B02, 0
B03, 1
B05, Trade, 458483.383, 73, B05, S00, 1
B05, Trade, 460536.783, 73, B05, S01, 1
B05, Trade, 462460.083, 71, B05, S01, 1
B05, Trade, 472094.717, 73, S00, B05, 1
B05, Trade, 476628.833, 71, B05, S01, 1
B05, Trade, 476851.183, 73, B05, S01, 1
B05, Trade, 525036.833, 70, B05, S00, 1
B05, Trade, 544912.233, 72, B05, S01, 1
B05, Trade, 545620.350, 72, B05, S00, 1
B05, Trade, 567791.867, 72, B05, S02, 1
B05, Trade, 568880.833, 73, B05, S01, 1
B05, Trade, 573493.750, 73, B05, S01, 1
B05, Trade, 574379.533, 73, B05, S00, 1
B05, Trade, 575779.417, 73, B05, S02, 1
B05, Trade, 580066.217, 73, B05, S02, 1
B05, Trade, 582755.500, 73, B05, S00, 1
B05, Trade, 583421.350, 73, B05, S00, 1
B05, Trade, 584455.983, 73, B05, S04, 1
B05, Trade, 584508.750, 73, B05, S01, 1
B05, Trade, 585341.667, 72, B05, S01, 1
B05, Trade, 589535.367, 73, B05, S01, 1
B05, Trade, 628443.467, 73, B05, S01, 1
B05, Trade, 630999.617, 73, B05, S00, 1
B05, Trade, 635170.134, 73, B05, S01, 1
B05, Trade, 641207.400, 73, B05, S02, 1
B05, Trade, 645860.067, 73, B05, S01, 1
B05, Trade, 653166.100, 72, B05, S01, 1
B05, Trade, 669620.450, 73, B05, S02, 1
B05, Trade, 684084.767, 73, B05, S01, 1
B05, Trade, 692034.700, 72, B05, S01, 1
B05, Trade, 696842.717, 73, B05, S01, 1
B05, Trade, 704057.934, 73, B05, S04, 1
B05, Trade, 710196.084, 72, B05, S02, 1
B05, Trade, 710878.801, 73, B05, S04, 1
B05, Trade, 713287.517, 72, B05, S04, 1
B05, Trade, 714525.301, 73, B05, S01, 1
B05, Trade, 719747.501, 73, B05, S01, 1
B05, Trade, 725989.951, 73, B05, S02, 1
B05, Trade, 726450.584, 73, B05, S01, 1
B05, Trade, 747338.767, 73, B05, S01, 1
B05, Trade, 751332.284, 73, B05, S01, 1
B05, Trade, 753471.734, 73, B05, S01, 1
B05, Trade, 758570.501, 73, B05, S01, 1
B05, Trade, 761329.534, 73, B05, S04, 1
B05, Trade, 763335.817, 73, B05, S00, 1
B05, Trade, 768318.717, 73, B05, S01, 1
B05, Trade, 790535.634, 73, B05, S00, 1
B05, Trade, 797106.334, 73, B05, S01, 1
B05, Trade, 798102.534, 71, B05, S01, 1
B05, Trade, 817483.868, 72, B05, S01, 1
B05, Trade, 824369.634, 73, B05, S01, 1
B05, Trade, 853560.184, 73, B05, S04, 1
B06, 17
B06, Trade, 118814.917, 67, S01, B06, 1
B06, Trade, 235148.300, 74, B06, S00, 1
B06, Trade, 254350.767, 66, B06, S01, 1
B06, Trade, 316252.283, 73, B06, S02, 1
B06, Trade, 325934.117, 74, B06, S02, 1
B06, Trade, 326368.567, 74, B06, S00, 1
B06, Trade, 327453.750, 76, B06, S01, 1
B06, Trade, 328995.067, 73, B06, S01, 1
B06, Trade, 342008.050, 74, B06, S00, 1
B06, Trade, 443427.033, 73, B06, S01, 1
B06, Trade, 445198.717, 64, B06, S01, 1
B06, Trade, 449100.683, 75, B06, S04, 1
B06, Trade, 466788.583, 72, B06, S00, 1
B06, Trade, 508215.733, 71, B06, S01, 1
B06, Trade, 509709.600, 74, B06, S01, 1
B06, Trade, 632351.017, 74, B06, S01, 1
B06, Trade, 653845.334, 73, B06, S01, 1
B07, 100
B07, Trade, 802030.951, 79, B07, S02, 1
B07, Trade, 802102.434, 78, B07, S01, 1
B07, Trade, 802254.467, 79, B07, S04, 1
B07, Trade, 802691.717, 78, B07, S05, 1
B07, Trade, 802884.417, 78, B07, S01, 1
B07, Trade, 803105.851, 77, B07, S00, 1
B07, Trade, 803137.484, 79, B07, S01, 1
B07, Trade, 803205.301, 78, B07, S01, 1
B07, Trade, 803528.501, 79, B07, S01, 1
B07, Trade, 803637.984, 79, B07, S04, 1
B07, Trade, 803795.867, 79, B07, S01, 1
B07, Trade, 803933.967, 79, B07, S04, 1
B07, Trade, 804026.267, 79, B07, S04, 1
B07, Trade, 804123.951, 79, B07, S00, 1
B07, Trade, 804363.784, 78, B07, S00, 1
B07, Trade, 804376.551, 79, B07, S01, 1
